Frame DensityError
1 0.0101
2 0.0101
3 0.0101
4 0.0151
5 0.0151
6 0.0166
7 0.0254
8 0.0268
9 0.0320
10 0.0411
11 0.0673
12 0.0673
13 0.0748
14 0.1051
15 0.1303
16 0.1466
17 0.1712
18 0.1893
19 0.2102
20 0.2305
21 0.2538
22 0.2550
23 0.2631
24 0.2879
25 0.3091
26 0.3100
27 0.3288
28 0.3375
29 0.3528
30 0.3788
31 0.3909
32 0.4029
33 0.4387
34 0.4653
35 0.4742
36 0.4824
37 0.4934
38 0.5301
39 0.5441
40 0.5565
41 0.5959
42 0.6022
43 0.6177
44 0.6281
45 0.6165
46 0.6414
47 0.6448
48 0.6631
49 0.6619
50 0.6849
51 0.7035
52 0.7058
53 0.7254
54 0.7379
55 0.7525
56 0.7374
57 0.7409
58 0.7341
59 0.7664
60 0.7742
61 0.7936
62 0.8157
63 0.8261
64 0.8461
65 0.8545
66 0.8503
67 0.8530
68 0.8713
69 0.8748
70 0.8684
71 0.8805
72 0.8945
73 0.9190
74 0.9244
75 0.9387
76 0.9482
77 0.9459
78 0.9726
79 0.9696
80 0.9716
81 0.9801
82 0.9947
83 0.9977
84 1.0049
85 1.0061
86 1.0285
87 1.0425
88 1.0353
89 1.0425
90 1.0440
91 1.0543
92 1.0636
93 1.0530
94 1.0571
95 1.0623
96 1.0635
97 1.0598
98 1.0787
99 1.0867
100 1.1206
