Frame DensityError
1 0.0101
2 0.0101
3 0.0101
4 0.0101
5 0.0184
6 0.0223
7 0.0237
8 0.0337
9 0.0503
10 0.0562
11 0.0716
12 0.0838
13 0.0838
14 0.0962
15 0.0922
16 0.0986
17 0.1068
18 0.1114
19 0.1316
20 0.1516
21 0.1650
22 0.1868
23 0.1883
24 0.1887
25 0.1907
26 0.2091
27 0.2060
28 0.2066
29 0.2243
30 0.2230
31 0.2306
32 0.2421
33 0.2376
34 0.2629
35 0.2898
36 0.2767
37 0.2721
38 0.2804
39 0.2862
40 0.2878
41 0.2915
42 0.2901
43 0.2965
44 0.3086
45 0.3220
46 0.3296
47 0.3116
48 0.3334
49 0.3407
50 0.3350
51 0.3428
52 0.3279
53 0.3317
54 0.3274
55 0.3179
56 0.3144
57 0.3091
58 0.3097
59 0.3189
60 0.3064
61 0.3082
62 0.3193
63 0.2969
64 0.2963
65 0.2973
66 0.3007
67 0.2973
68 0.2922
69 0.2973
70 0.3070
71 0.3084
72 0.2928
73 0.2945
74 0.2971
75 0.2992
76 0.3062
77 0.3152
78 0.3351
79 0.3387
80 0.3358
81 0.3070
82 0.3061
83 0.3208
84 0.3298
85 0.3251
86 0.3285
87 0.3251
88 0.3345
89 0.3200
90 0.3141
91 0.3157
92 0.3167
93 0.3124
94 0.3189
95 0.3260
96 0.3315
97 0.3303
98 0.3249
99 0.3188
100 0.3122
