Frame DensityError
1 0.0101
2 0.0101
3 0.0101
4 0.0151
5 0.0163
6 0.0202
7 0.0216
8 0.0416
9 0.0492
10 0.0545
11 0.0657
12 0.0671
13 0.0684
14 0.0727
15 0.0804
16 0.0917
17 0.1151
18 0.1340
19 0.1692
20 0.1784
21 0.1954
22 0.2093
23 0.2089
24 0.2248
25 0.2183
26 0.2341
27 0.2467
28 0.2534
29 0.2693
30 0.2820
31 0.2869
32 0.2929
33 0.3005
34 0.3016
35 0.3184
36 0.3186
37 0.3338
38 0.3477
39 0.3567
40 0.3641
41 0.3806
42 0.3905
43 0.3977
44 0.4062
45 0.4073
46 0.4131
47 0.4334
48 0.4347
49 0.4474
50 0.4484
51 0.4452
52 0.4651
53 0.4676
54 0.4729
55 0.4884
56 0.4938
57 0.4972
58 0.5169
59 0.5251
60 0.5401
61 0.5451
62 0.5499
63 0.5664
64 0.5766
65 0.5761
66 0.5805
67 0.5765
68 0.5876
69 0.5907
70 0.5808
71 0.5929
72 0.5909
73 0.6006
74 0.6003
75 0.6105
76 0.6160
77 0.6177
78 0.6151
79 0.6269
80 0.6322
81 0.6235
82 0.6286
83 0.6356
84 0.6390
85 0.6545
86 0.6652
87 0.6683
88 0.6741
89 0.6860
90 0.6932
91 0.6949
92 0.6986
93 0.6974
94 0.7049
95 0.7001
96 0.7113
97 0.7149
98 0.7307
99 0.7420
100 0.7469
