Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 0.7372 0.1930 0.9734 0.9657 0.0077 0.0080 0.0214 0.0135 0.1978 0.3484 0.1506
2 1.5865 0.1938 0.9930 0.9530 0.0400 0.0085 0.0217 0.0132 0.1826 0.3634 0.1808
3 2.0989 0.1853 0.9930 0.9613 0.0317 0.0016 0.0136 0.0120 0.1456 0.3697 0.2241
4 2.7254 0.2196 0.9921 0.9565 0.0356 0.0024 0.0202 0.0178 0.1350 0.3831 0.2481
5 2.7023 0.2289 0.9850 0.9469 0.0381 0.0185 0.0005 0.0180 0.1758 0.4114 0.2356
6 2.5997 0.2410 0.9910 0.9261 0.0650 0.0113 0.0195 0.0082 0.1807 0.4436 0.2629
7 2.8953 0.2579 0.9745 0.9412 0.0333 0.0376 0.0243 0.0133 0.1396 0.4631 0.3234
8 2.8427 0.3096 0.9698 0.9110 0.0587 0.0503 0.0272 0.0231 0.1462 0.5097 0.3635
9 3.4478 0.2447 0.9788 0.9433 0.0355 0.0570 0.0135 0.0435 0.1519 0.5319 0.3800
10 3.3631 0.3092 0.9763 0.9222 0.0540 0.0610 0.0025 0.0584 0.1532 0.5788 0.4256
11 4.1351 0.2962 0.9762 0.9278 0.0484 0.0546 0.0173 0.0374 0.1573 0.6009 0.4436
12 3.2881 0.3229 0.9875 0.8898 0.0977 0.0631 0.0109 0.0522 0.1640 0.6536 0.4896
13 3.6220 0.2763 0.9792 0.9111 0.0681 0.0512 0.0042 0.0470 0.1709 0.6989 0.5280
14 4.1426 0.2928 0.9726 0.8920 0.0806 0.0587 0.0176 0.0411 0.1699 0.7181 0.5482
15 3.9496 0.3032 0.9801 0.9064 0.0737 0.0487 0.0085 0.0402 0.1756 0.7560 0.5804
16 3.8859 0.3046 0.9840 0.9130 0.0710 0.0440 0.0218 0.0223 0.1756 0.7338 0.5582
17 4.0731 0.3045 0.9878 0.8910 0.0968 0.0432 0.0279 0.0153 0.1894 0.7643 0.5749
18 4.8032 0.3304 0.9878 0.8892 0.0986 0.0522 0.0254 0.0268 0.1835 0.7846 0.6011
19 4.0726 0.3216 0.9860 0.9047 0.0813 0.0568 0.0331 0.0237 0.1699 0.7990 0.6290
20 4.1929 0.3481 0.9874 0.8586 0.1288 0.0652 0.0344 0.0307 0.1714 0.8316 0.6602
