Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 1.3663 0.0904 0.9734 0.9801 0.0067 0.0080 0.0182 0.0102 0.1978 0.3506 0.1528
2 2.0137 0.0787 0.9930 0.9801 0.0129 0.0085 0.0173 0.0088 0.1826 0.3475 0.1650
3 1.3829 0.0851 0.9930 0.9711 0.0218 0.0016 0.0184 0.0168 0.1456 0.3584 0.2128
4 1.7728 0.1204 0.9921 0.9534 0.0387 0.0024 0.0070 0.0046 0.1350 0.3693 0.2344
5 2.5389 0.0810 0.9850 0.9804 0.0046 0.0185 0.0082 0.0103 0.1758 0.3486 0.1728
6 2.0055 0.0967 0.9910 0.9627 0.0283 0.0113 0.0023 0.0090 0.1807 0.3533 0.1726
7 2.5435 0.0924 0.9745 0.9803 0.0058 0.0376 0.0019 0.0357 0.1396 0.3557 0.2161
8 1.8027 0.1021 0.9698 0.9622 0.0075 0.0503 0.0024 0.0479 0.1462 0.3283 0.1820
9 2.0047 0.0962 0.9788 0.9717 0.0071 0.0570 0.0097 0.0473 0.1519 0.2781 0.1262
10 2.3507 0.1078 0.9763 0.9629 0.0134 0.0610 0.0084 0.0526 0.1532 0.2815 0.1283
11 2.6007 0.0995 0.9762 0.9541 0.0221 0.0546 0.0038 0.0509 0.1573 0.2869 0.1296
12 2.7573 0.0938 0.9875 0.9805 0.0070 0.0631 0.0067 0.0564 0.1640 0.2936 0.1296
13 2.6713 0.0929 0.9792 0.9632 0.0160 0.0512 0.0170 0.0342 0.1709 0.2960 0.1251
14 3.3121 0.0864 0.9726 0.9724 0.0002 0.0587 0.0196 0.0391 0.1699 0.3033 0.1333
15 2.6943 0.1129 0.9801 0.9546 0.0256 0.0487 0.0277 0.0210 0.1756 0.2652 0.0896
16 2.3937 0.1152 0.9840 0.9635 0.0205 0.0440 0.0419 0.0021 0.1756 0.2916 0.1160
17 3.0664 0.0911 0.9878 0.9723 0.0155 0.0432 0.0438 0.0006 0.1894 0.2969 0.1076
18 2.8039 0.1037 0.9878 0.9546 0.0332 0.0522 0.0272 0.0250 0.1835 0.3498 0.1663
19 2.1548 0.1079 0.9860 0.9545 0.0315 0.0568 0.0460 0.0109 0.1699 0.3436 0.1737
20 2.3674 0.0936 0.9874 0.9724 0.0150 0.0652 0.0419 0.0232 0.1714 0.3496 0.1782
21 2.3135 0.1155 0.9766 0.9455 0.0311 0.0681 0.0533 0.0148 0.1858 0.3443 0.1585
22 2.6839 0.0557 0.9838 0.9988 0.0149 0.0762 0.0504 0.0258 0.1912 0.3392 0.1480
23 2.2488 0.0927 0.9795 0.9542 0.0253 0.0745 0.0422 0.0323 0.1949 0.2977 0.1029
24 1.8165 0.0868 0.9696 0.9631 0.0065 0.0789 0.0356 0.0432 0.2025 0.3028 0.1003
25 1.9763 0.0695 0.9677 0.9720 0.0043 0.0821 0.0368 0.0453 0.1947 0.3084 0.1136
26 2.5626 0.0920 0.9822 0.9541 0.0282 0.0683 0.0617 0.0066 0.2004 0.3230 0.1226
27 2.2326 0.0911 0.9792 0.9712 0.0080 0.0839 0.0667 0.0171 0.1974 0.3242 0.1268
28 2.1156 0.1353 0.9683 0.9625 0.0057 0.0771 0.0432 0.0339 0.2343 0.3249 0.0906
29 1.7580 0.1249 0.9646 0.9806 0.0160 0.0706 0.0482 0.0225 0.2314 0.3294 0.0980
30 1.3404 0.1663 0.9562 0.9360 0.0202 0.0609 0.0309 0.0300 0.2306 0.3102 0.0797
31 1.4420 0.1298 0.9498 0.9628 0.0131 0.0525 0.0054 0.0471 0.2233 0.3217 0.0984
32 1.2900 0.1492 0.9709 0.9451 0.0258 0.0528 0.0095 0.0433 0.2279 0.3251 0.0972
33 2.4096 0.1030 0.9640 0.9808 0.0168 0.0772 0.0203 0.0569 0.2208 0.3277 0.1069
34 1.6270 0.1635 0.9633 0.9184 0.0450 0.0908 0.0174 0.0734 0.2229 0.2970 0.0741
35 1.9796 0.1102 0.9633 0.9720 0.0087 0.0869 0.0045 0.0824 0.2121 0.3214 0.1093
36 1.6964 0.1349 0.9564 0.9452 0.0111 0.0910 0.0302 0.0607 0.2071 0.3151 0.1080
37 1.0814 0.1270 0.9488 0.9362 0.0125 0.0742 0.0357 0.0385 0.2308 0.3218 0.0911
38 2.5686 0.0772 0.9635 0.9896 0.0261 0.0666 0.0344 0.0322 0.2366 0.3187 0.0821
39 2.4418 0.1126 0.9771 0.9363 0.0408 0.0631 0.0584 0.0047 0.2452 0.3325 0.0874
40 3.1524 0.1177 0.9762 0.9542 0.0221 0.0673 0.0369 0.0304 0.2267 0.3427 0.1161
41 1.9084 0.1131 0.9738 0.9810 0.0073 0.0709 0.0426 0.0283 0.2289 0.3413 0.1123
42 2.3617 0.1504 0.9787 0.9186 0.0602 0.0405 0.0320 0.0085 0.2447 0.3772 0.1325
43 2.8156 0.0896 0.9887 0.9808 0.0079 0.0368 0.0533 0.0165 0.2575 0.3823 0.1248
44 2.1991 0.1315 0.9772 0.9540 0.0233 0.0394 0.0555 0.0161 0.2524 0.3686 0.1162
45 2.0123 0.1395 0.9781 0.9539 0.0242 0.0371 0.0405 0.0034 0.2490 0.3745 0.1255
46 2.2342 0.1396 0.9778 0.9451 0.0327 0.0349 0.0413 0.0064 0.2456 0.3823 0.1366
47 2.0265 0.1493 0.9780 0.9719 0.0061 0.0461 0.0221 0.0240 0.2583 0.3692 0.1109
48 1.2541 0.1697 0.9756 0.9276 0.0480 0.0322 0.0178 0.0144 0.2444 0.3283 0.0839
49 1.0715 0.1359 0.9365 0.9812 0.0447 0.0457 0.0466 0.0009 0.2478 0.3560 0.1082
50 1.4994 0.1516 0.9388 0.9722 0.0334 0.0347 0.0509 0.0161 0.2532 0.3516 0.0983
51 1.4123 0.1478 0.9478 0.9544 0.0067 0.0356 0.0511 0.0155 0.2442 0.3784 0.1342
52 1.0635 0.1378 0.9488 0.9724 0.0237 0.0489 0.0312 0.0176 0.2396 0.3996 0.1600
53 1.6876 0.1185 0.9731 0.9546 0.0185 0.0480 0.0467 0.0013 0.2262 0.3987 0.1725
54 1.3553 0.1151 0.9385 0.9813 0.0428 0.0535 0.0345 0.0190 0.2329 0.3966 0.1637
55 1.6333 0.1183 0.9258 0.9723 0.0465 0.0758 0.0241 0.0517 0.2202 0.4087 0.1886
56 2.2092 0.1131 0.9407 0.9811 0.0404 0.0848 0.0241 0.0607 0.2154 0.4043 0.1889
57 2.8168 0.1487 0.9426 0.9543 0.0117 0.0903 0.0587 0.0316 0.2160 0.3711 0.1551
58 1.8368 0.1481 0.9705 0.9449 0.0256 0.0928 0.0592 0.0336 0.2153 0.3581 0.1429
59 1.7927 0.1327 0.9582 0.9522 0.0060 0.0755 0.0788 0.0033 0.2174 0.3632 0.1459
