Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 0.0576 1.5103 0.7465 0.3172 0.4294 0.0033 0.0437 0.0404 0.9835 0.3113 0.6722
2 0.0715 1.4730 0.7685 0.3078 0.4608 0.0125 0.0337 0.0213 0.3456 0.3325 0.0131
3 0.2863 1.4627 0.7758 0.2752 0.5007 0.0135 0.0235 0.0100 0.4711 0.3320 0.1391
4 0.2621 1.3512 0.7905 0.1063 0.6842 0.0140 0.0094 0.0046 0.5430 0.5959 0.0528
5 0.3081 1.2356 0.7909 0.0212 0.7698 0.0301 0.0020 0.0281 0.5626 1.6289 1.0663
6 0.3254 1.1963 0.7953 0.0657 0.7296 0.0392 0.0041 0.0351 0.6306 0.2346 0.3960
7 0.3376 1.2168 0.7992 0.0559 0.7433 0.0500 0.0144 0.0357 0.3534 0.6344 0.2810
8 0.3347 1.2462 0.8109 0.0287 0.7821 0.0473 0.0082 0.0392 0.3970 0.3656 0.0314
9 0.4018 1.2594 0.8108 0.0231 0.7878 0.0567 0.0043 0.0524 0.5689 1.5261 0.9573
10 0.4544 1.2631 0.8178 0.0052 0.8126 0.0603 0.0057 0.0546 0.6265 1.3425 0.7160
11 0.4428 1.2493 0.8124 0.0263 0.7862 0.0608 0.0081 0.0527 0.3605 0.6249 0.2644
12 0.4649 1.2332 0.8159 0.0273 0.7885 0.0662 0.0260 0.0403 0.4567 0.5760 0.1193
13 0.4902 1.2379 0.8102 0.0283 0.7819 0.0750 0.0058 0.0692 0.4443 0.6248 0.1804
14 0.5027 1.2466 0.8273 0.0166 0.8107 0.0631 0.0035 0.0596 0.4366 0.6846 0.2480
15 0.4683 1.2319 0.8211 0.0260 0.7951 0.0625 0.0174 0.0451 0.4733 0.6927 0.2195
16 0.5201 1.2566 0.8319 0.0298 0.8020 0.0570 0.0009 0.0561 0.4338 0.7724 0.3387
17 0.5950 1.2382 0.8280 0.0431 0.7848 0.0589 0.0064 0.0525 0.4347 0.8467 0.4120
18 0.6141 1.2079 0.8279 0.0589 0.7690 0.0600 0.0157 0.0443 0.3697 0.6331 0.2634
19 0.6879 1.2330 0.8161 0.0311 0.7851 0.0677 0.0045 0.0632 0.3640 0.6336 0.2696
20 0.6633 1.2542 0.8249 0.0275 0.7974 0.0687 0.0025 0.0662 0.3639 0.6795 0.3156
21 0.7092 1.2496 0.8302 0.0376 0.7926 0.0670 0.0149 0.0521 0.3495 0.6787 0.3292
22 0.7168 1.2540 0.8371 0.0264 0.8107 0.0656 0.0172 0.0484 0.3357 0.6212 0.2855
23 0.7379 1.2411 0.8319 0.0268 0.8051 0.0732 0.0010 0.0722 0.3611 0.6318 0.2707
24 0.7429 1.2126 0.8404 0.0558 0.7846 0.0710 0.0054 0.0657 0.3897 0.7392 0.3495
25 0.7700 1.2209 0.8305 0.0268 0.8038 0.0684 0.0102 0.0582 0.3643 0.7729 0.4087
26 0.7563 1.2403 0.8418 0.0321 0.8097 0.0678 0.0071 0.0607 0.3670 1.1742 0.8071
27 0.7922 1.2334 0.8403 0.0397 0.8007 0.0673 0.0089 0.0584 0.3556 0.6429 0.2874
28 0.8141 1.2447 0.8449 0.0420 0.8029 0.0631 0.0006 0.0625 0.3539 0.6408 0.2869
29 0.8483 1.2191 0.8360 0.0453 0.7906 0.0600 0.0014 0.0586 0.3532 0.6276 0.2743
30 0.9032 1.2265 0.8329 0.0272 0.8057 0.0573 0.0044 0.0529 0.3313 0.6232 0.2919
31 0.8403 1.2338 0.8269 0.0313 0.7956 0.0551 0.0203 0.0348 0.2697 0.6568 0.3871
32 0.8772 1.2511 0.8299 0.0111 0.8188 0.0514 0.0052 0.0462 0.3205 0.6572 0.3367
33 0.8754 1.2382 0.8228 0.0249 0.7979 0.0467 0.0009 0.0458 0.3242 0.7508 0.4266
34 0.9074 1.2112 0.8285 0.0636 0.7649 0.0428 0.0032 0.0396 0.3286 0.7870 0.4583
35 0.8389 1.2088 0.8055 0.0676 0.7378 0.0318 0.0121 0.0197 0.3215 0.7967 0.4752
