Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 0.0501 0.5510 0.7465 0.7716 0.0251 0.0033 0.0182 0.0149 0.9835 0.3413 0.6422
2 0.0815 0.5065 0.7685 0.8193 0.0508 0.0125 0.0018 0.0107 0.3456 0.6073 0.2616
3 0.2432 0.4799 0.7758 0.8527 0.0768 0.0135 0.0028 0.0107 0.4711 0.3442 0.1269
4 0.2405 0.4643 0.7905 0.8705 0.0800 0.0140 0.0086 0.0054 0.5430 0.6119 0.0689
5 0.2971 0.4552 0.7909 0.8887 0.0978 0.0301 0.0007 0.0295 0.5626 0.6122 0.0496
6 0.3170 0.4342 0.7953 0.9020 0.1067 0.0392 0.0016 0.0376 0.6306 0.6124 0.0182
7 0.3483 0.4397 0.7992 0.9152 0.1160 0.0500 0.0022 0.0478 0.3534 0.6127 0.2593
8 0.3403 0.4304 0.8109 0.9231 0.1122 0.0473 0.0032 0.0441 0.3970 0.6129 0.2159
9 0.3813 0.4160 0.8108 0.9227 0.1119 0.0567 0.0039 0.0528 0.5689 0.6131 0.0443
10 0.4461 0.4104 0.8178 0.9247 0.1069 0.0603 0.0055 0.0548 0.6265 0.6134 0.0131
11 0.4395 0.4124 0.8124 0.9258 0.1134 0.0608 0.0006 0.0602 0.3605 0.6136 0.2531
12 0.4957 0.3937 0.8159 0.9291 0.1132 0.0662 0.0026 0.0636 0.4567 0.6138 0.1571
13 0.4998 0.3961 0.8102 0.9306 0.1204 0.0750 0.0008 0.0742 0.4443 0.6140 0.1697
14 0.5273 0.3812 0.8273 0.9360 0.1087 0.0631 0.0021 0.0610 0.4366 0.6142 0.1776
15 0.5055 0.3938 0.8211 0.9364 0.1153 0.0625 0.0002 0.0623 0.4733 0.6145 0.1412
16 0.5422 0.3755 0.8319 0.9366 0.1047 0.0570 0.0010 0.0560 0.4338 0.6147 0.1809
17 0.5827 0.3675 0.8280 0.9389 0.1110 0.0589 0.0013 0.0576 0.4347 0.6149 0.1802
18 0.5789 0.3740 0.8279 0.9390 0.1112 0.0600 0.0019 0.0582 0.3697 0.6151 0.2453
19 0.6644 0.3874 0.8161 0.9402 0.1241 0.0677 0.0011 0.0666 0.3640 0.6153 0.2513
20 0.6621 0.3884 0.8249 0.9397 0.1148 0.0687 0.0000 0.0687 0.3639 0.6155 0.2516
21 0.6850 0.3785 0.8302 0.9410 0.1109 0.0670 0.0000 0.0670 0.3495 0.6157 0.2662
22 0.6830 0.3757 0.8371 0.9412 0.1042 0.0656 0.0000 0.0656 0.3357 0.6159 0.2803
23 0.6984 0.3731 0.8319 0.9409 0.1090 0.0732 0.0005 0.0727 0.3611 0.6161 0.2551
24 0.6879 0.3665 0.8404 0.9407 0.1003 0.0710 0.0002 0.0709 0.3897 0.6163 0.2267
25 0.7203 0.3668 0.8305 0.9402 0.1097 0.0684 0.0007 0.0677 0.3643 0.6165 0.2523
26 0.7160 0.3586 0.8418 0.9404 0.0987 0.0678 0.0011 0.0668 0.3670 0.6167 0.2497
27 0.7180 0.3535 0.8403 0.9403 0.1000 0.0673 0.0017 0.0656 0.3556 0.6169 0.2614
28 0.7273 0.3581 0.8449 0.9395 0.0946 0.0631 0.0024 0.0607 0.3539 0.6171 0.2633
