Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 0.3161 1.6095 0.7496 0.4190 0.3306 0.2378 0.1535 0.0843 0.9418 1.0286 0.0869
2 0.5404 1.6369 0.7496 0.4699 0.2797 0.2378 0.2093 0.0285 0.9418 1.0216 0.0798
3 0.8879 1.6627 0.7530 0.4763 0.2767 0.2271 0.2071 0.0200 0.9321 0.9893 0.0572
4 1.0525 1.6384 0.7501 0.4487 0.3015 0.2243 0.2015 0.0228 0.9520 0.9166 0.0354
5 1.1981 1.6218 0.7502 0.4301 0.3202 0.2232 0.2050 0.0182 0.9746 0.9029 0.0717
6 1.3742 1.5654 0.7539 0.3702 0.3837 0.2218 0.1728 0.0490 0.9723 0.8605 0.1118
7 1.4844 1.5053 0.7619 0.2944 0.4676 0.2061 0.1223 0.0838 0.9241 0.8462 0.0779
8 1.5117 1.4395 0.7751 0.2271 0.5480 0.2144 0.0846 0.1298 0.9132 0.8727 0.0404
9 1.6107 1.3686 0.7743 0.1584 0.6159 0.2133 0.0409 0.1724 0.9454 0.8273 0.1181
10 1.8279 1.3333 0.7730 0.1046 0.6684 0.2219 0.0229 0.1990 0.9645 0.7072 0.2573
11 1.8472 1.3034 0.7654 0.0728 0.6926 0.2214 0.0109 0.2105 0.9540 0.6862 0.2678
12 1.8522 1.2543 0.7717 0.0536 0.7181 0.2331 0.0108 0.2223 0.9366 1.1458 0.2092
13 1.9252 1.2313 0.7761 0.0697 0.7064 0.2351 0.0107 0.2244 0.9528 1.4961 0.5433
14 1.9623 1.2056 0.7728 0.0836 0.6892 0.2353 0.0181 0.2172 0.8812 1.5409 0.6597
15 2.0676 1.1882 0.7738 0.0885 0.6852 0.2353 0.0292 0.2061 0.8847 1.4428 0.5582
16 2.1379 1.1805 0.7774 0.0970 0.6804 0.2401 0.0280 0.2121 0.8486 1.1968 0.3482
17 2.2678 1.2032 0.7743 0.0994 0.6749 0.2275 0.0206 0.2070 0.8421 1.3187 0.4766
18 2.3778 1.2088 0.7615 0.0972 0.6643 0.2287 0.0105 0.2182 0.8668 1.0318 0.1650
19 2.4338 1.2297 0.7645 0.0768 0.6877 0.2238 0.0194 0.2044 0.8537 0.8048 0.0489
20 2.4582 1.2098 0.7675 0.0774 0.6901 0.2199 0.0240 0.1959 0.8561 0.7446 0.1115
21 2.4747 1.2060 0.7612 0.0619 0.6993 0.2208 0.0264 0.1944 0.8428 0.7951 0.0476
22 2.5659 1.2029 0.7642 0.0743 0.6899 0.2225 0.0212 0.2013 0.8475 0.8378 0.0097
23 2.5476 1.1929 0.7565 0.0831 0.6734 0.2080 0.0485 0.1595 0.8689 0.7482 0.1207
24 2.5582 1.1740 0.7548 0.0746 0.6802 0.2088 0.0363 0.1725 0.8541 0.9169 0.0628
25 2.5856 1.2181 0.7555 0.0540 0.7015 0.2120 0.0125 0.1994 0.8912 1.0070 0.1158
26 2.6117 1.2181 0.7525 0.0578 0.6947 0.2117 0.0120 0.1997 0.8863 0.9723 0.0860
27 2.6135 1.2051 0.7657 0.0781 0.6876 0.2162 0.0072 0.2091 0.7493 0.9737 0.2244
28 2.8052 1.2394 0.7737 0.0713 0.7024 0.2008 0.0170 0.1838 0.6650 0.9611 0.2962
29 2.8444 1.2370 0.7394 0.0500 0.6894 0.2091 0.0096 0.1995 1.0066 0.8472 0.1594
30 2.8156 1.2406 0.7402 0.0503 0.6900 0.2024 0.0164 0.1859 0.9737 0.9425 0.0312
31 2.8273 1.2629 0.7469 0.0595 0.6873 0.2019 0.0188 0.1831 0.9653 0.7865 0.1788
32 2.8287 1.2547 0.7518 0.0671 0.6847 0.2061 0.0084 0.1976 0.9532 0.8171 0.1361
33 2.9505 1.2134 0.7694 0.0803 0.6891 0.1979 0.0117 0.1862 0.9814 0.9938 0.0125
34 2.8866 1.2208 0.7589 0.0642 0.6947 0.1939 0.0076 0.1863 0.9133 1.2284 0.3151
35 3.0045 1.1970 0.7704 0.0667 0.7036 0.1941 0.0109 0.1832 0.8950 1.1677 0.2727
36 3.0821 1.2175 0.7650 0.0742 0.6908 0.1899 0.0129 0.1770 0.8887 1.0960 0.2073
37 3.1745 1.1930 0.7682 0.0719 0.6962 0.1908 0.0099 0.1808 0.8724 1.0828 0.2104
38 3.2175 1.2042 0.8038 0.0628 0.7410 0.1753 0.0077 0.1676 0.8094 0.9553 0.1460
39 3.1408 1.1717 0.7726 0.0749 0.6977 0.1749 0.0170 0.1579 0.9644 0.9722 0.0078
40 3.1149 1.1598 0.7871 0.0907 0.6963 0.1772 0.0228 0.1544 0.9116 0.9341 0.0225
41 3.1669 1.1552 0.7978 0.1004 0.6974 0.1708 0.0191 0.1517 0.7540 0.9292 0.1751
42 3.1935 1.1445 0.7948 0.1066 0.6882 0.1791 0.0364 0.1427 0.7700 0.9263 0.1562
43 3.2056 1.1681 0.8140 0.0935 0.7206 0.1673 0.0098 0.1574 0.9748 1.0251 0.0503
44 3.2645 1.1829 0.7885 0.1155 0.6730 0.1708 0.0122 0.1586 0.9899 0.9263 0.0636
45 3.2628 1.1565 0.7986 0.0949 0.7036 0.1708 0.0234 0.1474 0.7806 0.7909 0.0104
46 3.2124 1.1614 0.8000 0.1036 0.6964 0.1785 0.0111 0.1674 0.7737 0.8628 0.0892
47 3.2461 1.1973 0.8042 0.0758 0.7285 0.1755 0.0085 0.1670 0.9857 0.8527 0.1330
48 3.3066 1.2022 0.8285 0.0929 0.7356 0.1627 0.0291 0.1337 0.9386 0.8205 0.1181
49 3.2745 1.1976 0.7994 0.0816 0.7178 0.1376 0.0105 0.1272 0.9435 0.8342 0.1092
50 3.2160 1.1985 0.7903 0.0693 0.7210 0.1456 0.0058 0.1399 0.7932 0.8445 0.0513
