Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 0.3151 0.3835 0.7496 0.8046 0.0549 0.2378 0.2515 0.0137 0.9418 0.9893 0.0476
2 0.4926 0.3691 0.7496 0.8202 0.0706 0.2378 0.2524 0.0146 0.9418 0.8495 0.0923
3 0.6984 0.3618 0.7530 0.8312 0.0782 0.2271 0.2535 0.0264 0.9321 0.8510 0.0811
4 0.7689 0.3779 0.7501 0.8335 0.0834 0.2243 0.2589 0.0346 0.9520 0.8486 0.1034
5 0.8532 0.3663 0.7502 0.8355 0.0853 0.2232 0.2614 0.0383 0.9746 0.8533 0.1213
6 0.9073 0.3545 0.7539 0.8375 0.0836 0.2218 0.2660 0.0443 0.9723 0.8570 0.1153
7 0.9712 0.3784 0.7619 0.8385 0.0765 0.2061 0.2686 0.0625 0.9241 0.8598 0.0643
8 1.0309 0.3508 0.7751 0.8397 0.0646 0.2144 0.2707 0.0563 0.9132 0.8616 0.0516
9 1.0943 0.3731 0.7743 0.8410 0.0667 0.2133 0.2733 0.0600 0.9454 0.8633 0.0821
10 1.2252 0.3722 0.7730 0.8412 0.0682 0.2219 0.2768 0.0549 0.9645 0.8633 0.1012
11 1.3637 0.4004 0.7654 0.8417 0.0763 0.2214 0.2771 0.0558 0.9540 0.8654 0.0886
12 1.3805 0.3951 0.7717 0.8443 0.0727 0.2331 0.2800 0.0470 0.9366 0.8656 0.0710
13 1.3365 0.4201 0.7761 0.8432 0.0671 0.2351 0.2809 0.0458 0.9528 0.8666 0.0861
14 1.4645 0.4023 0.7728 0.8441 0.0713 0.2353 0.2834 0.0481 0.8812 0.8671 0.0141
15 1.5223 0.4083 0.7738 0.8440 0.0702 0.2353 0.2843 0.0490 0.8847 0.8671 0.0176
16 1.6717 0.4564 0.7774 0.8450 0.0676 0.2401 0.2838 0.0437 0.8486 0.8677 0.0191
17 1.7789 0.4634 0.7743 0.8453 0.0710 0.2275 0.2861 0.0586 0.8421 0.8685 0.0263
18 1.8110 0.4695 0.7615 0.8438 0.0823 0.2287 0.2844 0.0557 0.8668 0.8698 0.0030
19 1.9891 0.4540 0.7645 0.8445 0.0800 0.2238 0.2855 0.0617 0.8537 0.8732 0.0195
20 1.9488 0.4565 0.7675 0.8455 0.0780 0.2199 0.2875 0.0675 0.8561 0.8730 0.0169
21 2.0508 0.4555 0.7612 0.8451 0.0839 0.2208 0.2901 0.0693 0.8428 0.8761 0.0333
22 2.2846 0.4391 0.7642 0.8451 0.0808 0.2225 0.2901 0.0675 0.8475 0.8777 0.0302
23 2.2372 0.4360 0.7565 0.8450 0.0885 0.2080 0.2931 0.0851 0.8689 0.8800 0.0111
24 2.3387 0.4483 0.7548 0.8447 0.0899 0.2088 0.2946 0.0859 0.8541 0.8826 0.0285
25 2.4225 0.4318 0.7555 0.8432 0.0876 0.2120 0.2964 0.0845 0.8912 0.8839 0.0072
26 2.4695 0.4322 0.7525 0.8434 0.0909 0.2117 0.2967 0.0851 0.8863 0.8863 0.0000
27 2.5753 0.4223 0.7657 0.8440 0.0783 0.2162 0.2966 0.0804 0.7493 0.8873 0.1381
28 2.7113 0.4920 0.7737 0.8421 0.0684 0.2008 0.2969 0.0960 0.6650 0.8892 0.2243
29 2.7343 0.4951 0.7394 0.8425 0.1031 0.2091 0.2969 0.0878 1.0066 0.8913 0.1153
30 2.9181 0.5157 0.7402 0.8434 0.1032 0.2024 0.2951 0.0928 0.9737 0.8942 0.0795
31 3.0017 0.5101 0.7469 0.8427 0.0958 0.2019 0.2945 0.0925 0.9653 0.8954 0.0699
32 3.0024 0.5119 0.7518 0.8431 0.0913 0.2061 0.2928 0.0867 0.9532 0.8980 0.0552
33 3.0542 0.4870 0.7694 0.8416 0.0723 0.1979 0.2926 0.0947 0.9814 0.8973 0.0841
34 2.9884 0.4961 0.7589 0.8418 0.0829 0.1939 0.2907 0.0967 0.9133 0.8994 0.0139
35 3.0551 0.4702 0.7704 0.8419 0.0716 0.1941 0.2886 0.0945 0.8950 0.9023 0.0074
36 2.9973 0.4987 0.7650 0.8419 0.0768 0.1899 0.2862 0.0963 0.8887 0.9037 0.0150
37 3.0331 0.4999 0.7682 0.8405 0.0723 0.1908 0.2845 0.0937 0.8724 0.9054 0.0330
38 2.9447 0.4807 0.8038 0.8422 0.0384 0.1753 0.2838 0.1085 0.8094 0.9067 0.0973
39 3.0198 0.4782 0.7726 0.8439 0.0713 0.1749 0.2814 0.1065 0.9644 0.9098 0.0546
40 3.0234 0.4935 0.7871 0.8449 0.0578 0.1772 0.2791 0.1018 0.9116 0.9111 0.0006
41 3.1194 0.4925 0.7978 0.8469 0.0492 0.1708 0.2754 0.1046 0.7540 0.9136 0.1595
42 3.0574 0.5076 0.7948 0.8478 0.0530 0.1791 0.2731 0.0940 0.7700 0.9144 0.1444
43 2.9612 0.4795 0.8140 0.8473 0.0332 0.1673 0.2686 0.1013 0.9748 0.9185 0.0563
44 3.0310 0.4863 0.7885 0.8488 0.0603 0.1708 0.2670 0.0962 0.9899 0.9192 0.0707
45 3.1234 0.4752 0.7986 0.8505 0.0520 0.1708 0.2629 0.0921 0.7806 0.9219 0.1413
46 3.1857 0.4739 0.8000 0.8511 0.0511 0.1785 0.2578 0.0793 0.7737 0.9246 0.1509
47 3.1824 0.4863 0.8042 0.8525 0.0483 0.1755 0.2543 0.0788 0.9857 0.9264 0.0593
48 3.0781 0.4773 0.8285 0.8536 0.0251 0.1627 0.2493 0.0866 0.9386 0.9280 0.0106
49 3.0589 0.4706 0.7994 0.8541 0.0547 0.1376 0.2471 0.1095 0.9435 0.9304 0.0131
50 3.1702 0.4764 0.7903 0.8536 0.0632 0.1456 0.2435 0.0979 0.7932 0.9323 0.1391
