Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 0.3093 0.4061 0.7496 0.8435 0.0939 0.2378 0.2681 0.0303 0.9418 1.0238 0.0821
2 0.4996 0.3995 0.7496 0.8613 0.1116 0.2378 0.2733 0.0355 0.9418 0.8624 0.0794
3 0.7162 0.3907 0.7530 0.8666 0.1135 0.2271 0.2826 0.0555 0.9321 0.8641 0.0680
4 0.8485 0.4095 0.7501 0.8674 0.1172 0.2243 0.2855 0.0613 0.9520 0.8717 0.0803
5 0.8988 0.4022 0.7502 0.8713 0.1210 0.2232 0.2930 0.0699 0.9746 0.8690 0.1056
6 1.0155 0.3911 0.7539 0.8721 0.1181 0.2218 0.2978 0.0761 0.9723 0.8762 0.0961
7 1.0245 0.4158 0.7619 0.8701 0.1081 0.2061 0.3065 0.1005 0.9241 0.8784 0.0457
8 1.1269 0.3701 0.7751 0.8711 0.0960 0.2144 0.3089 0.0945 0.9132 0.8814 0.0318
9 1.1606 0.4063 0.7743 0.8686 0.0944 0.2133 0.3105 0.0972 0.9454 0.8838 0.0616
10 1.3174 0.4046 0.7730 0.8720 0.0990 0.2219 0.3156 0.0938 0.9645 0.8867 0.0778
11 1.4041 0.4348 0.7654 0.8707 0.1053 0.2214 0.3218 0.1004 0.9540 0.8902 0.0638
12 1.4397 0.4413 0.7717 0.8701 0.0984 0.2331 0.3234 0.0903 0.9366 0.8923 0.0443
13 1.3212 0.4599 0.7761 0.8710 0.0949 0.2351 0.3272 0.0921 0.9528 0.8893 0.0635
14 1.4039 0.4487 0.7728 0.8715 0.0987 0.2353 0.3305 0.0952 0.8812 0.8948 0.0137
15 1.4686 0.4508 0.7738 0.8684 0.0946 0.2353 0.3325 0.0972 0.8847 0.8971 0.0124
16 1.6144 0.5083 0.7774 0.8683 0.0909 0.2401 0.3389 0.0988 0.8486 0.8974 0.0488
17 1.7531 0.5039 0.7743 0.8674 0.0931 0.2275 0.3404 0.1129 0.8421 0.8971 0.0550
18 1.8075 0.5068 0.7615 0.8657 0.1041 0.2287 0.3449 0.1162 0.8668 0.9011 0.0343
19 1.9990 0.4905 0.7645 0.8641 0.0996 0.2238 0.3466 0.1228 0.8537 0.8994 0.0458
20 1.9480 0.4877 0.7675 0.8642 0.0967 0.2199 0.3535 0.1336 0.8561 0.8996 0.0435
21 2.0168 0.4971 0.7612 0.8608 0.0996 0.2208 0.3531 0.1322 0.8428 0.8999 0.0571
22 2.1659 0.4874 0.7642 0.8610 0.0968 0.2225 0.3572 0.1346 0.8475 0.9029 0.0554
23 2.1832 0.4778 0.7565 0.8646 0.1081 0.2080 0.3599 0.1519 0.8689 0.9009 0.0320
24 2.3151 0.4770 0.7548 0.8608 0.1060 0.2088 0.3634 0.1546 0.8541 0.9030 0.0489
25 2.3104 0.4676 0.7555 0.8555 0.1000 0.2120 0.3659 0.1539 0.8912 0.9009 0.0097
26 2.5713 0.4568 0.7525 0.8596 0.1071 0.2117 0.3658 0.1541 0.8863 0.9006 0.0143
27 2.6455 0.4373 0.7657 0.8525 0.0868 0.2162 0.3706 0.1543 0.7493 0.9012 0.1519
28 2.8176 0.5068 0.7737 0.8566 0.0828 0.2008 0.3707 0.1698 0.6650 0.9067 0.2417
29 2.8995 0.5052 0.7394 0.8537 0.1143 0.2091 0.3655 0.1564 1.0066 0.9070 0.0996
30 3.0097 0.5234 0.7402 0.8532 0.1130 0.2024 0.3746 0.1722 0.9737 0.9067 0.0669
31 2.9138 0.5107 0.7469 0.8538 0.1069 0.2019 0.3724 0.1705 0.9653 0.9093 0.0560
32 2.8700 0.5214 0.7518 0.8535 0.1018 0.2061 0.3708 0.1647 0.9532 0.9070 0.0462
