Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 0.2640 1.6859 0.2048 0.1009 0.1039 0.8989 0.4478 0.4511 0.9513 1.1903 0.2390
2 0.4179 1.6463 0.2048 0.1006 0.1042 0.8989 0.4158 0.4831 0.9513 1.0761 0.1248
3 0.5126 1.1153 0.2006 0.0292 0.1714 0.8986 0.1659 0.7327 0.9516 1.0813 0.1297
4 0.5796 1.0452 0.2034 0.0369 0.1666 0.8988 0.2483 0.6505 0.9678 0.9950 0.0272
5 0.6595 1.2753 0.2073 0.0062 0.2011 0.8950 0.0029 0.8921 0.9857 0.8755 0.1102
6 0.7611 1.3573 0.2096 0.0349 0.1746 0.8940 0.0803 0.8137 1.0012 0.8504 0.1508
7 0.8522 1.2551 0.2171 0.0083 0.2088 0.8896 0.0232 0.8664 0.9984 0.8412 0.1572
8 0.9190 1.2076 0.2235 0.0179 0.2056 0.8863 0.0819 0.8044 1.0135 0.8966 0.1170
9 0.9289 1.2497 0.2311 0.0182 0.2128 0.8837 0.0336 0.8500 0.9875 0.8300 0.1576
10 0.9276 1.3028 0.2383 0.0065 0.2318 0.8797 0.0043 0.8754 1.0180 0.8588 0.1593
11 1.0181 1.2590 0.2383 0.0428 0.1955 0.8798 0.0113 0.8685 1.0274 1.1857 0.1583
12 1.0775 1.2665 0.2474 0.0095 0.2380 0.8765 0.0084 0.8681 1.0421 1.1336 0.0916
13 1.0903 1.2632 0.2487 0.0170 0.2317 0.8736 0.0211 0.8524 1.0403 1.1547 0.1144
14 1.1053 1.2774 0.2518 0.0113 0.2405 0.8719 0.0109 0.8610 1.0474 0.9322 0.1151
15 1.1577 1.2405 0.2520 0.0081 0.2439 0.8678 0.0498 0.8180 1.0953 0.8697 0.2257
16 1.2130 1.2596 0.2576 0.0272 0.2304 0.8656 0.0239 0.8418 1.0804 0.8684 0.2121
17 1.2383 1.2749 0.2536 0.0282 0.2254 0.8681 0.0075 0.8606 1.0637 0.7781 0.2856
18 1.2601 1.2511 0.2548 0.0045 0.2503 0.8660 0.0402 0.8258 1.0611 1.2142 0.1531
19 1.2469 1.2422 0.2573 0.0135 0.2438 0.8634 0.0595 0.8039 1.0859 1.2160 0.1301
20 1.2585 1.2473 0.2650 0.0250 0.2401 0.8582 0.0331 0.8252 1.1053 1.1638 0.0584
21 1.3101 1.2404 0.2716 0.0172 0.2544 0.8550 0.0427 0.8124 1.1339 1.1663 0.0324
22 1.3329 1.2754 0.2731 0.0060 0.2671 0.8534 0.0027 0.8507 1.1307 1.0975 0.0332
23 1.3496 1.2641 0.2733 0.0249 0.2484 0.8522 0.0221 0.8301 1.1485 1.2151 0.0667
24 1.3665 1.2435 0.2798 0.0056 0.2742 0.8483 0.0430 0.8053 1.2886 0.8691 0.4195
25 1.3966 1.2382 0.2839 0.0299 0.2540 0.8471 0.0500 0.7971 1.4023 0.7892 0.6131
26 1.4742 1.2843 0.2924 0.0313 0.2611 0.8452 0.0008 0.8444 1.1320 1.0443 0.0877
27 1.4720 1.2776 0.2907 0.0178 0.2728 0.8426 0.0029 0.8397 1.3768 1.1434 0.2334
28 1.4902 1.2589 0.2962 0.0243 0.2720 0.8394 0.0217 0.8177 1.2858 1.1605 0.1253
29 1.5057 1.2236 0.3004 0.0163 0.2841 0.8412 0.0505 0.7906 1.3583 0.7741 0.5842
30 1.5233 1.2542 0.3027 0.0245 0.2783 0.8365 0.0225 0.8140 1.3183 1.2932 0.0252
31 1.5281 1.2713 0.3099 0.0288 0.2811 0.8303 0.0107 0.8196 1.4775 1.2256 0.2520
32 1.5366 1.2591 0.3159 0.0082 0.3078 0.8273 0.0322 0.7952 1.4978 0.8100 0.6878
33 1.5586 1.2330 0.3220 0.0177 0.3043 0.8232 0.0364 0.7868 1.5364 0.9565 0.5798
34 1.6202 1.2329 0.3222 0.0360 0.2862 0.8228 0.0232 0.7996 1.4273 1.0232 0.4042
35 1.5533 1.2460 0.3251 0.0023 0.3228 0.8182 0.0216 0.7966 1.4867 0.9544 0.5322
36 1.6238 1.2862 0.3263 0.0354 0.2909 0.8165 0.0054 0.8111 1.5017 1.3520 0.1498
37 1.6350 1.2774 0.3348 0.0205 0.3142 0.8118 0.0045 0.8073 1.5306 1.1958 0.3348
38 1.5872 1.2500 0.3388 0.0127 0.3261 0.8098 0.0221 0.7876 1.5444 1.1295 0.4149
39 1.6577 1.2448 0.3405 0.0271 0.3134 0.8108 0.0321 0.7786 1.5024 0.7158 0.7866
40 1.6201 1.2739 0.3399 0.0118 0.3281 0.8096 0.0127 0.7969 1.3851 0.8774 0.5078
41 1.6655 1.2736 0.3412 0.0353 0.3059 0.8084 0.0339 0.7745 1.3769 1.1837 0.1932
42 1.7071 1.2649 0.3472 0.0397 0.3075 0.8069 0.0189 0.7881 1.4060 0.9812 0.4248
43 1.7025 1.2571 0.3500 0.0136 0.3364 0.8035 0.0134 0.7902 1.5481 1.0367 0.5114
44 1.6609 1.2441 0.3702 0.0262 0.3440 0.7913 0.0297 0.7617 1.5291 0.8640 0.6651
45 1.7041 1.2548 0.3712 0.0222 0.3490 0.7895 0.0114 0.7781 1.5291 0.9762 0.5528
46 1.6829 1.2393 0.3844 0.0162 0.3683 0.7850 0.0262 0.7587 1.5449 1.3072 0.2376
47 1.7149 1.2802 0.4017 0.0395 0.3623 0.7712 0.0105 0.7607 1.5839 1.0625 0.5214
48 1.6844 1.2741 0.4262 0.0201 0.4061 0.7546 0.0166 0.7381 1.5247 1.2705 0.2542
49 1.7193 1.2539 0.4487 0.0318 0.4169 0.7364 0.0467 0.6897 1.5039 1.2713 0.2325
50 1.6792 1.2500 0.4699 0.0405 0.4294 0.7178 0.0258 0.6920 1.3721 1.3384 0.0337
