Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 0.1375 0.3302 0.2048 0.1797 0.0251 0.8989 0.8240 0.0749 0.9513 1.1084 0.1571
2 0.2060 0.2795 0.2048 0.1853 0.0195 0.8989 0.8592 0.0397 0.9513 1.1302 0.1789
3 0.2776 0.2736 0.2006 0.1828 0.0178 0.8986 0.8600 0.0386 0.9516 1.1094 0.1578
4 0.3356 0.2539 0.2034 0.1798 0.0236 0.8988 0.8730 0.0258 0.9678 1.1291 0.1613
5 0.3582 0.2460 0.2073 0.1784 0.0289 0.8950 0.8767 0.0182 0.9857 1.1259 0.1402
6 0.3861 0.2300 0.2096 0.1799 0.0297 0.8940 0.8830 0.0111 1.0012 1.1255 0.1243
7 0.4107 0.2212 0.2171 0.1800 0.0371 0.8896 0.8860 0.0036 0.9984 1.1288 0.1304
8 0.3864 0.2109 0.2235 0.1760 0.0475 0.8863 0.8929 0.0065 1.0135 1.1301 0.1165
9 0.3714 0.2082 0.2311 0.1778 0.0532 0.8837 0.8941 0.0104 0.9875 1.1219 0.1344
10 0.3663 0.1991 0.2383 0.1752 0.0631 0.8797 0.8992 0.0195 1.0180 1.1271 0.1091
11 0.3587 0.1955 0.2383 0.1769 0.0614 0.8798 0.9010 0.0212 1.0274 1.1226 0.0952
12 0.3836 0.1965 0.2474 0.1750 0.0725 0.8765 0.9041 0.0276 1.0421 1.1261 0.0840
13 0.3776 0.1932 0.2487 0.1742 0.0745 0.8736 0.9055 0.0319 1.0403 1.1239 0.0835
14 0.3648 0.1857 0.2518 0.1722 0.0796 0.8719 0.9094 0.0375 1.0474 1.1256 0.0782
15 0.3474 0.1886 0.2520 0.1743 0.0776 0.8678 0.9101 0.0423 1.0953 1.1246 0.0292
16 0.3512 0.1918 0.2576 0.1734 0.0842 0.8656 0.9117 0.0461 1.0804 1.1229 0.0425
17 0.3813 0.1853 0.2536 0.1737 0.0799 0.8681 0.9131 0.0450 1.0637 1.1279 0.0641
18 0.3726 0.1865 0.2548 0.1727 0.0821 0.8660 0.9141 0.0481 1.0611 1.1290 0.0679
19 0.3594 0.1909 0.2573 0.1717 0.0856 0.8634 0.9144 0.0510 1.0859 1.1299 0.0440
20 0.3349 0.1909 0.2650 0.1728 0.0922 0.8582 0.9151 0.0569 1.1053 1.1337 0.0284
21 0.3687 0.1923 0.2716 0.1719 0.0997 0.8550 0.9145 0.0595 1.1339 1.1366 0.0026
22 0.3341 0.1911 0.2731 0.1720 0.1012 0.8534 0.9148 0.0613 1.1307 1.1408 0.0101
23 0.4097 0.1952 0.2733 0.1722 0.1011 0.8522 0.9140 0.0618 1.1485 1.1375 0.0110
24 0.4220 0.2024 0.2798 0.1717 0.1082 0.8483 0.9134 0.0651 1.2886 1.1387 0.1499
25 0.4223 0.2064 0.2839 0.1712 0.1127 0.8471 0.9140 0.0669 1.4023 1.1380 0.2643
26 0.4409 0.2101 0.2924 0.1711 0.1213 0.8452 0.9130 0.0678 1.1320 1.1374 0.0054
27 0.4374 0.2112 0.2907 0.1693 0.1214 0.8426 0.9140 0.0714 1.3768 1.1345 0.2423
28 0.4416 0.2118 0.2962 0.1690 0.1272 0.8394 0.9130 0.0736 1.2858 1.1406 0.1452
29 0.4602 0.2158 0.3004 0.1699 0.1305 0.8412 0.9134 0.0722 1.3583 1.1401 0.2182
30 0.4694 0.2169 0.3027 0.1684 0.1344 0.8365 0.9127 0.0762 1.3183 1.1435 0.1748
31 0.4814 0.2275 0.3099 0.1700 0.1399 0.8303 0.9126 0.0822 1.4775 1.1442 0.3333
32 0.4793 0.2266 0.3159 0.1703 0.1456 0.8273 0.9116 0.0842 1.4978 1.1477 0.3501
33 0.5085 0.2259 0.3220 0.1735 0.1485 0.8232 0.9110 0.0877 1.5364 1.1500 0.3864
34 0.5111 0.2261 0.3222 0.1717 0.1505 0.8228 0.9100 0.0873 1.4273 1.1473 0.2800
