Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
1 0.1374 0.3032 0.2048 0.1877 0.0171 0.8989 0.8397 0.0592 0.9513 1.1140 0.1627
2 0.2278 0.2485 0.2048 0.1946 0.0102 0.8989 0.8726 0.0262 0.9513 1.1311 0.1798
3 0.3393 0.2042 0.2006 0.1992 0.0014 0.8986 0.8898 0.0088 0.9516 1.1171 0.1655
4 0.3732 0.1888 0.2034 0.1995 0.0039 0.8988 0.9001 0.0013 0.9678 1.1187 0.1509
5 0.4249 0.1797 0.2073 0.2010 0.0063 0.8950 0.9040 0.0090 0.9857 1.1185 0.1329
6 0.4289 0.1717 0.2096 0.2023 0.0073 0.8940 0.9072 0.0132 1.0012 1.1170 0.1158
7 0.4847 0.1673 0.2171 0.2033 0.0138 0.8896 0.9086 0.0190 0.9984 1.1227 0.1243
8 0.4601 0.1625 0.2235 0.2039 0.0196 0.8863 0.9119 0.0255 1.0135 1.1163 0.1027
9 0.4919 0.1620 0.2311 0.2045 0.0265 0.8837 0.9124 0.0287 0.9875 1.1206 0.1331
10 0.4604 0.1618 0.2383 0.2057 0.0326 0.8797 0.9131 0.0334 1.0180 1.1184 0.1003
11 0.4883 0.1669 0.2383 0.2063 0.0321 0.8798 0.9136 0.0338 1.0274 1.1195 0.0921
12 0.4675 0.1693 0.2474 0.2069 0.0406 0.8765 0.9147 0.0382 1.0421 1.1177 0.0757
13 0.4422 0.1724 0.2487 0.2074 0.0413 0.8736 0.9148 0.0413 1.0403 1.1167 0.0764
14 0.4542 0.1670 0.2518 0.2077 0.0441 0.8719 0.9155 0.0436 1.0474 1.1158 0.0685
15 0.4559 0.1735 0.2520 0.2085 0.0435 0.8678 0.9157 0.0480 1.0953 1.1148 0.0195
16 0.4880 0.1728 0.2576 0.2094 0.0482 0.8656 0.9163 0.0507 1.0804 1.1123 0.0319
17 0.5075 0.1691 0.2536 0.2099 0.0436 0.8681 0.9168 0.0486 1.0637 1.1110 0.0473
18 0.5126 0.1753 0.2548 0.2107 0.0440 0.8660 0.9171 0.0511 1.0611 1.1104 0.0493
19 0.4957 0.1777 0.2573 0.2117 0.0456 0.8634 0.9173 0.0539 1.0859 1.1090 0.0231
